Symbol,Rate,Change %,Change,Day Low,Day High,Base Currency,Quote Currency,Timestamp
AED/AUD,0.42056,-1.18653,-0.00505,0.42056,0.42632,AED,AUD,1733758761
AED/BHD,0.10258,2.20544,0.00221342,0.10036,0.10275,AED,BHD,1733758854
AED/CAD,0.3851,-0.27728,-0.00107077,0.3833,0.38665,AED,CAD,1733758761
AED/CHF,0.23848,-0.10891,-0.00026,0.23848,0.23962,AED,CHF,1733758761
AED/DKK,1.9187,91.87021,0.9187,1.87439,1.92493,AED,DKK,1733758854
AED/EUR,0.25727,-0.02543675,-0.000065458929,0.25697,0.25851,AED,EUR,1733758854
AED/GBP,0.21292,-0.38539,-0.000823736608,0.21237,0.21412,AED,GBP,1733758761
AED/ILS,0.96997,-100,,0.96661,0.97828,AED,ILS,1733758917
AED/INR,23.046,0.18693,0.043,23.001,23.1369,AED,INR,1733758761
AED/JOD,0.19296,-3.52209,-0.00704417,0.19294,0.19342,AED,JOD,1733758854
AED/JPY,41.129,0.75205,0.307,40.733,41.15207,AED,JPY,1733758761
AED/KWD,0.08361934,-0.22273,-0.000186663253,0.08360091,0.08563681,AED,KWD,1733758854
AED/NOK,3.01648,-0.83633,-0.02544052,2.96406,3.05306,AED,NOK,1733758854
AED/NZD,0.4623,-0.90032,-0.0042,0.4623,0.46866,AED,NZD,1733758761
AED/OMR,0.10481,0.46107,0.000481031928,0.10428,0.10497,AED,OMR,1733758854
AED/PKR,75.644,-0.00793126,-0.006,75.604,75.65,AED,PKR,1733758761
AED/QAR,0.99125,0.51234,0.00505267,0.9861,0.99765,AED,QAR,1733758854
AED/SAR,1.02241,0.51209,0.00520903,1.0166,1.0233,AED,SAR,1733758854
AED/SEK,2.96794,-0.47307,-0.0141071,2.9025,2.9907,AED,SEK,1733758854
AED/SGD,0.36433,-0.1671,-0.000609813991,0.36388,0.37293,AED,SGD,1733758854
AED/USD,0.27227,-0.00816397,-0.00002223,0.27218,0.27231,AED,USD,1733758918
AED/ZAR,4.83187,-1.40655,-0.06893232,4.82475,4.91484,AED,ZAR,1733758917
AFN/EUR,0.01345479,-2.08549,-0.000286574925,0.01345479,0.01393146,AFN,EUR,1733758761
AFN/GBP,0.0111304,-2.35519,-0.000268465421,0.0111304,0.01141931,AFN,GBP,1733758761
AFN/USD,0.01425324,-1.98918,-0.000289277,0.01425324,0.01454251,AFN,USD,1733758387
ALL/EUR,0.01029018,0.1029,0.000010577902,0.00992556,0.01029018,ALL,EUR,1733748406
ALL/GBP,0.00844096,-0.02532287,-0.000002138033,0.00820946,0.00844452,ALL,GBP,1733750063
ALL/USD,0.0107747,-0.11853,-0.000012786,0.01045773,0.01078749,ALL,USD,1733750063
AMD/EUR,0.00239401,1.56807,0.000036960202,0.00235677,0.00239452,AMD,EUR,1733747362
AMD/GBP,0.00198094,1.42826,0.000027894616,0.00195267,0.00198141,AMD,GBP,1733747362
AMD/USD,0.00252985,1.39901,0.0000349045,0.00249495,0.00252985,AMD,USD,1733745704
ARS/AUD,0.00152159,-1.56298,-0.000024159656,0.00152159,0.00154784,ARS,AUD,1733758909
ARS/BRL,0.00597335,3.52427,0.000203350536,0.0057,0.00607207,ARS,BRL,1733758909
ARS/CAD,0.00138993,-0.58961,-0.000008243776,0.00138744,0.00139956,ARS,CAD,1733758909
ARS/CHF,0.000864062157,-0.43936,-0.000003813119,0.000864003004,0.000869500043,ARS,CHF,1733758909
ARS/CLP,0.9605,1.38142,0.01308776,0.94741,0.9605,ARS,CLP,1733746745
ARS/COP,4.3542,-100,,4.35217,4.38233,ARS,COP,1733746797
ARS/EUR,0.000930049144,-0.46955,-0.000004387685,0.00088,0.000937568179,ARS,EUR,1733758909
ARS/GBP,0.000769318051,-0.75426,-0.000005846724,0.000765,0.000776554334,ARS,GBP,1733758909
ARS/HKD,0.00765295,-0.15062,-0.000011544192,0.00764619,0.00768409,ARS,HKD,1733758909
