Symbol,Rate,Change %,Change,Day Low,Day High,Base Currency,Quote Currency,Timestamp
AED/AUD,0.42561,1.01583,0.00428,0.42141,0.42665,AED,AUD,1733524164
AED/BHD,0.10263,0.05094244,0.000052256053,0.10247,0.10276,AED,BHD,1733521200
AED/CAD,0.38622,0.98486,0.00376663,0.38493,0.38622,AED,CAD,1733636963
AED/CHF,0.23874,-0.01256439,-0.00003,0.23773,0.239,AED,CHF,1733524164
AED/DKK,1.92155,92.15525,0.92155,1.9092,1.92511,AED,DKK,1733521200
AED/EUR,0.25767,0.16491,0.000424228131,0.25767,0.25767,AED,EUR,1733617463
AED/GBP,0.21374,0.15817,0.000337545303,0.21208,0.21402,AED,GBP,1733524164
AED/ILS,0.97537,-2.46326,-0.02463259,0.97476,1.02947,AED,ILS,1733500822
AED/INR,23.003,-0.00869376,-0.002,23.003,23.07976,AED,INR,1733535562
AED/JOD,0.19305,-3.476,-0.006952,0.19261,0.19388,AED,JOD,1733521200
AED/JPY,40.822,-0.01959344,-0.008,40.658,40.995,AED,JPY,1733525064
AED/KWD,0.083806,-0.02505159,-0.000021,0.08380499,0.083831,AED,KWD,1733506463
AED/NOK,3.04192,1.1103,0.03340353,2.999,3.04739,AED,NOK,1733524164
AED/NZD,0.4665,0.9784,0.00452,0.46204,0.46701,AED,NZD,1733524164
AED/OMR,0.10433,0.01917362,0.00002,0.10433,0.10433,AED,OMR,1733535562
AED/PKR,75.65,0.06613757,0.05,75.65,75.65,AED,PKR,1733535562
AED/QAR,0.9862,0.01014096,0.0001,0.9862,0.9862,AED,QAR,1733535562
AED/SAR,1.0172,0.02950143,0.0003,1.0172,1.0172,AED,SAR,1733535562
AED/SEK,2.98205,0.78428,0.02320557,2.9475,2.98838,AED,SEK,1733524164
AED/SGD,0.36494,0.15643,0.00057,0.3636,0.36618,AED,SGD,1733524164
AED/USD,0.27229,0.00816463,0.00002223,0.27229,0.27229,AED,USD,1733533849
AED/ZAR,4.9008,0.02245035,0.0011,4.9008,4.9008,AED,ZAR,1733535562
AFN/EUR,0.01374136,-0.02610858,-0.000003588612,0.01370727,0.01376766,AFN,EUR,1733524164
AFN/GBP,0.01139887,0.01823819,0.000002078568,0.01135667,0.0114137,AFN,GBP,1733524164
AFN/USD,0.01454251,0,0,0.01454251,0.01454251,AFN,USD,1733533849
ALL/EUR,0.01027961,-0.02055921,-0.00000211384,0.01027961,0.01027961,ALL,EUR,1733490027
