Rank,Ticker,Name,Market Cap (Original),Original Currency,Market Cap (EUR),Market Cap (USD),Price,Exchange,Active,Description,Homepage URL,Employees,Date
119,RCKY,"Rocky Brands, Inc.",171706180,USD,146892919.9282,171706180,0,NASDAQ,true,,,,2025-07-01
120,SGC,"Superior Group of Companies, Inc.",167540294,USD,143329046.11405998,167540294,0,NASDAQ,true,,,,2025-07-01
121,BORG.ST,Björn Borg AB (publ),1496328848,SEK,133906498.53409697,156533344.212939,0,STO,true,,,,2025-07-01
122,MONTECARLO.NS,Monte Carlo Fashions Limited,12653326708,INR,123706766.95996696,144639202.44164515,0,NSE,true,,,,2025-07-01
123,CALN.SW,CALIDA Holding AG,112344867,CHF,119274728.7397813,139418556.4835383,0,SIX,true,,,,2025-07-01
124,DBI,Designer Brands Inc.,130256100,USD,111432790.989,130256100,0,NYSE,true,,,,2025-07-01
125,ABFRL.NS,Aditya Birla Fashion and Retail Limited,9165475100,INR,89607367.172162,104769839.50984204,0,NSE,true,,,,2025-07-01
126,GEO.MI,Geox S.p.A.,85942368,EUR,85942368,100459816.01187623,0,MIL,true,,,,2025-07-01
127,MKS.L,Marks and Spencer Group plc,7203317100,GBp,83562800.35026,97687991.26637554,0,LSE,true,,,,2025-07-01
128,PLCE,"The Children's Place, Inc.",92572120,USD,79194522.93879999,92572120,0,NASDAQ,true,,,,2025-07-01
129,BIRD,"Allbirds, Inc.",87819142,USD,75128397.78958,87819142,0,NASDAQ,true,,,,2025-07-01
130,FOSL,"Fossil Group, Inc.",82935780,USD,70950730.4322,82935780,0,NASDAQ,true,,,,2025-07-01
131,GFG.DE,Global Fashion Group S.A.,67825288,EUR,67825288,79282385.53343697,0,XETRA,true,,,,2025-07-01
132,VRA,"Vera Bradley, Inc.",64711090,USD,55359690.3841,64711090,0,NASDAQ,true,,,,2025-07-01
133,JD.L,JD Sports Fashion plc,4740033340,GBp,54987230.764004,64282097.968483,0,LSE,true,,,,2025-07-01
134,ECK.DE,LUDWIG BECK am Rathauseck - Textilhaus Feldmeier AG,52469000,EUR,52469000,61332102.070158616,0,XETRA,true,,,,2025-07-01
135,BRBY.L,Burberry Group plc,4329162200,GBp,50220879.01732001,58710057.22965092,0,LSE,true,,,,2025-07-01
136,AEF.MI,Aeffe S.p.A.,48277455,EUR,48277455,56432518.205940455,0,MIL,true,,,,2025-07-01
137,PPH.JO,Pepkor Holdings Limited,93714895330,ZAc,45613251.22864079,53314647.61196485,0,JNB,true,,,,2025-07-01
138,CATO,The Cato Corporation,53064937,USD,45396522.95413,53064937,0,NYSE,true,,,,2025-07-01
139,FRAS.L,Frasers Group plc,2974223068,GBp,34502772.1226408,40335011.364561014,0,LSE,true,,,,2025-07-01
140,WOL.VI,Wolford AG,34171620,EUR,34171620,39943915.18311143,0,VIE,true,,,,2025-07-01
141,0330.HK,Esprit Holdings Limited,280251180,HKD,30662281.6038,35837609.318634324,0.099,HKSE,true,,,,2025-07-01
142,RENT,"Rent the Runway, Inc.",19636650,USD,16798957.708499998,19636650,0,NASDAQ,true,,,,2025-07-01
143,WOSG.L,Watches of Switzerland Group plc,981652455,GBp,11387757.469473002,13312707.89823429,0,LSE,true,,,,2025-07-01
144,LITB,"LightInTheBox Holding Co., Ltd.",11034058,USD,9439526.27842,11034058,0,NYSE,true,,,,2025-07-01
145,ASC.L,ASOS Plc,376135030,GBp,4363392.029018,5100965.987686132,0,LSE,true,,,,2025-07-01
146,BOO.L,Boohoo Group Plc,364674412,GBp,4230441.983847201,4945542.488269278,26.1,LSE,true,,,,2025-07-01
147,PMNT,Perfect Moment Ltd. Common Stock,3753193.69,USD,3210819.6698581,3753193.69,0,NASDAQ,true,,,,2025-07-01
148,MGOL,MGO Global Inc. Common Stock,3411030,USD,2918102.0546999997,3411030,0.37,NASDAQ,true,,,,2025-07-01
149,EXPR,"Express, Inc.",3109396,USD,2660057.1840399997,3109396,0.83,NYSE,true,,,,2025-07-01
150,MUL.L,Mulberry Group plc,59700000,GBp,692555.8200000001,809623.26073395,0,LSE,true,,,,2025-07-01
151,SDRY.L,Superdry plc,3270419,GBp,37938.8226514,44351.880984024516,3.295,LSE,true,,,,2025-07-01
152,GWI2.DE,GERRY WEBER International AG,24918,EUR,24918,29127.166886813404,0.02,XETRA,true,,,,2025-07-01
